gsis_id,cfb_dominator,cfb_best_dominator,cfb_breakout_age,cfb_final_age,cfb_rec_yards,cfb_rush_yards,cfb_seasons
00-0038589,0.048567,0.072151,,22.98152,288.0,0.0,4.0
00-0038563,0.113659,0.113659,,21.483915,674.0,8.0,4.0
00-0039074,0.083474,0.083474,,21.574264,362.0,0.0,4.0
00-0038618,0.177279,0.177279,,22.250513,1058.0,0.0,3.0
00-0038611,0.154746,0.154746,,22.932238,41.0,899.0,5.0
00-0039146,0.142369,0.243715,21.344285,22.3436,609.0,11.0,4.0
00-0039062,0.047619,0.181891,,21.366188,0.0,-6.0,4.0
00-0038619,0.192099,0.192099,,22.880219,851.0,22.0,1.0
00-0039050,0.063061,0.063061,,22.212183,450.0,4.0,4.0
00-0038576,0.293009,0.293009,23.841205,23.841205,1280.0,3.0,4.0
00-0039067,0.02278,0.176683,,22.360027,22.0,0.0,4.0
00-0039041,0.150869,0.166957,,21.845311,706.0,48.0,3.0
00-0038559,0.137874,0.137874,,22.521561,418.0,47.0,5.0
00-0038573,0.103153,0.110995,,21.971253,424.0,28.0,5.0
00-0039021,0.122167,0.131665,,21.582478,135.0,519.0,4.0
00-0038933,0.005155,0.140012,,22.872005,0.0,0.0,3.0
00-0038979,0.052565,0.153677,,22.368241,418.0,0.0,5.0
00-0039107,0.212817,0.228037,23.843943,24.843258,122.0,239.0,4.0
00-0039065,0.163323,0.163323,,21.634497,635.0,0.0,4.0
00-0038612,0.127356,0.146369,,22.850103,973.0,0.0,4.0
00-0038752,,,,,,,
00-0038547,0.087586,0.087586,,23.926078,386.0,0.0,3.0
00-0038640,0.005945,0.085134,,22.31896,17.0,0.0,3.0
00-0038728,,,,,,,
00-0038839,,,,,,,
00-0038840,,,,,,,
00-0038359,,,,,,,
00-0038705,,,,,,,
00-0038710,,,,,,,
00-0038465,,,,,,,
00-0038896,,,,,,,
00-0038416,,,,,,,
00-0038714,,,,,,,
00-0038476,,,,,,,
00-0038440,,,,,,,
00-0038685,,,,,,,
00-0038720,,,,,,,
00-0038679,,,,,,,
00-0038783,,,,,,,
00-0038797,,,,,,,
00-0038794,,,,,,,
00-0038738,,,,,,,
00-0039398,0.28768,0.28768,23.488022,23.488022,78.0,425.0,6.0
00-0039917,0.309616,0.309616,22.316222,23.315537,88.0,110.0,6.0
00-0039918,0.342763,0.342763,20.785763,21.785079,306.0,410.0,3.0
00-0039376,0.344049,0.344049,19.926078,22.924025,2.0,399.0,5.0
00-0039732,0.311937,0.330803,22.516085,23.5154,116.0,265.0,2.0
00-0039851,0.300725,0.300725,20.005476,21.004791,191.0,511.0,3.0
00-0039923,0.105573,0.105573,,20.613279,50.0,354.0,3.0
00-0039910,0.410024,0.410024,20.703628,22.702259,67.0,1206.0,5.0
00-0040692,0.24531,0.24531,21.675565,21.675565,155.0,1197.0,4.0
00-0039796,0.177778,0.351246,20.539357,22.537988,0.0,-7.0,4.0
00-0039798,0.273211,0.273211,20.525667,21.524983,190.0,1445.0,3.0
00-0039471,,,,,,,
00-0039875,,,,,,,
00-0039794,0.276397,0.311747,17.615332,19.613963,119.0,1002.0,3.0
00-0039746,0.133748,0.188121,,21.007529,236.0,829.0,3.0
00-0039373,0.283846,0.283846,19.986311,19.986311,142.0,1424.0,3.0
00-0039811,0.150957,0.150957,,22.652977,240.0,844.0,3.0
00-0039344,0.201098,0.201098,20.11499,20.11499,252.0,1019.0,3.0
00-0039361,,,,,,,
00-0039738,0.295831,0.295831,21.765914,22.765229,109.0,1240.0,4.0
00-0039405,0.179085,0.179085,,24.03833,250.0,1111.0,5.0
00-0039921,0.153089,0.153089,,21.10883,229.0,905.0,3.0
00-0039814,0.131456,0.131456,,22.965092,299.0,0.0,5.0
00-0039530,,,,,,,
00-0039824,0.170702,0.170702,,22.8282,521.0,0.0,5.0
00-0039912,0.108432,0.108432,,21.215606,679.0,0.0,3.0
00-0039847,0.111336,0.111336,,22.510609,336.0,0.0,4.0
00-0039359,0.107595,0.107595,,23.219713,575.0,0.0,3.0
00-0039356,0.096404,0.136498,,20.43258,577.0,12.0,2.0
00-0039793,0.038931,0.038931,,21.330595,249.0,0.0,3.0
00-0039338,0.003788,0.131334,,20.717317,0.0,0.0,3.0
00-0039420,0.074527,0.081023,,22.214921,503.0,2.0,4.0
00-0039451,,,,,,,
00-0039880,0.363666,0.363666,22.863792,22.863792,1382.0,-1.0,5.0
00-0039747,0.018868,0.15541,,22.253251,0.0,0.0,5.0
00-0039365,0.178284,0.3937,19.572895,22.570842,526.0,26.0,5.0
00-0039920,0.001942,0.134638,,21.448323,14.0,0.0,4.0
00-0039855,0.058393,0.154296,,21.73306,516.0,30.0,4.0
00-0039907,0.114627,0.114627,,21.390828,1087.0,38.0,4.0
00-0039919,0.007461,0.166035,,21.245722,24.0,0.0,4.0
00-0039751,0.073824,0.114706,,22.915811,482.0,18.0,5.0
00-0039894,0.164407,0.178752,,20.347707,864.0,19.0,3.0
00-0039890,0.189974,0.189974,,20.898015,755.0,-4.0,3.0
00-0039342,0.184353,0.184353,,22.587269,1230.0,28.0,5.0
00-0039868,0.142783,0.142783,,20.566735,1383.0,0.0,3.0
00-0039849,0.250494,0.250494,21.05681,21.05681,1210.0,19.0,3.0
00-0039792,0.006148,0.163514,,22.201232,36.0,0.0,3.0
00-0039739,0.199561,0.199561,,22.201232,778.0,10.0,4.0
00-0039893,0.147905,0.147905,,20.898015,1152.0,6.0,3.0
00-0039337,0.1745,0.1745,,20.095825,1500.0,1.0,3.0
00-0039915,0.063841,0.098739,,21.804244,478.0,38.0,3.0
00-0039236,0.0,0.112077,,22.412047,0.0,0.0,4.0
00-0039901,0.0,0.139755,,20.29295,0.0,0.0,3.0
00-0039916,0.179455,0.179455,,22.976044,917.0,62.0,5.0
00-0039810,0.157496,0.157496,,22.176591,783.0,0.0,4.0
00-0039874,0.136522,0.136522,,20.418891,134.0,1038.0,3.0
00-0039703,,,,,,,
00-0039853,,,,,,,
00-0039491,,,,,,,
00-0039391,0.239666,0.240286,21.010267,22.009582,187.0,1643.0,4.0
00-0039577,,,,,,,
00-0039355,0.168671,0.204439,19.416838,22.414784,952.0,129.0,5.0
00-0039363,0.147009,0.147009,,23.175907,234.0,863.0,4.0
00-0039384,0.207369,0.207369,23.772758,23.772758,136.0,716.0,6.0
00-0029604,,,,,,,
00-0039737,0.031709,0.031709,,21.954825,203.0,0.0,3.0
00-0039364,0.081562,0.081562,,22.08898,199.0,286.0,1.0
00-0039410,,,,,,,
00-0039394,0.101062,0.101062,,22.488706,647.0,0.0,5.0
00-0039754,0.018318,0.062606,,23.578371,186.0,0.0,4.0
00-0039884,0.109884,0.109884,,22.294319,945.0,10.0,5.0
00-0039424,0.176882,0.176882,,25.71937,560.0,0.0,4.0
00-0039534,,,,,,,
00-0039623,,,,,,,
00-0039299,,,,,,,
00-0039869,,,,,,,
00-0040078,0.292391,0.292391,21.393566,21.393566,327.0,1330.0,4.0
00-0040586,0.157559,0.157559,,20.648871,300.0,718.0,3.0
00-0040438,,,,,,,
00-0040651,,,,,,,
00-0040177,0.228117,0.228117,20.427105,20.427105,167.0,1283.0,3.0
00-0040162,0.099139,0.291806,19.964408,19.964408,0.0,20.0,3.0
00-0040206,0.19408,0.19408,,21.968515,34.0,919.0,4.0
00-0040179,0.21059,0.21059,21.01848,21.01848,213.0,1354.0,3.0
00-0040466,,,,,,,
00-0040187,0.077554,0.077554,,21.292266,363.0,0.0,4.0
00-0040583,,,,,,,
00-0040653,0.305021,0.305021,21.566051,22.568104,980.0,1.0,4.0
00-0040202,0.295267,0.295267,18.056126,21.05681,254.0,1247.0,4.0
00-0040589,0.239036,0.239036,21.850787,23.852156,48.0,117.0,6.0
00-0040551,,,,,,,
00-0040244,0.104782,0.104782,,21.462012,539.0,0.0,4.0
00-0040715,,,,,,,
00-0040009,0.194757,0.194757,,22.776181,628.0,334.0,5.0
00-0040729,0.191511,0.191511,,21.705681,1004.0,0.0,4.0
00-0040130,0.161367,0.161367,,21.713895,1157.0,0.0,3.0
00-0040237,0.115417,0.148029,,22.291581,819.0,-1.0,5.0
00-0040704,0.292569,0.292569,22.67488,23.676934,19.0,320.0,6.0
00-0040737,0.071026,0.071026,,21.489391,504.0,0.0,4.0
00-0040730,,,,,,,
00-0040719,0.299822,0.344569,20.544832,22.546201,78.0,1165.0,3.0
00-0040556,,,,,,,
00-0040134,,,,,,,
00-0040189,0.0,0.145825,,21.188227,0.0,0.0,4.0
00-0040014,0.345642,0.345642,21.952088,21.952088,39.0,156.0,4.0
00-0040198,0.24489,0.290785,19.627652,20.629706,167.0,863.0,3.0
00-0040154,0.272158,0.272158,21.467488,21.467488,1126.0,23.0,4.0
00-0040648,0.073398,0.249336,19.756331,21.7577,325.0,22.0,5.0
00-0040736,0.0,0.066708,,20.317591,0.0,0.0,3.0
00-0040170,0.264652,0.264652,21.24846,21.24846,831.0,0.0,2.0
00-0040234,0.05487,0.081817,,21.467488,376.0,113.0,3.0
00-0040667,0.15214,0.15214,,21.086927,854.0,0.0,3.0
00-0040584,0.125997,0.125997,,21.98768,732.0,0.0,3.0
00-0040782,,,,,,,
00-0040142,0.314714,0.314714,21.051335,21.051335,188.0,1526.0,3.0
00-0040646,0.122407,0.148181,,21.535934,720.0,3.0,2.0
00-0040663,0.259494,0.259494,20.117728,20.117728,1446.0,65.0,3.0
00-0040666,0.352358,0.352358,20.462697,21.46475,378.0,1688.0,3.0
00-0040691,0.061321,0.153769,,21.305955,0.0,0.0,4.0
00-0040727,0.166496,0.205935,21.505818,22.507871,1015.0,0.0,4.0
00-0040673,0.282565,0.282565,21.71937,21.71937,446.0,928.0,4.0
00-0040203,0.1875,0.316888,21.935661,22.937714,0.0,0.0,5.0
00-0040784,0.195245,0.263208,18.841889,20.843258,163.0,1147.0,3.0
00-0040129,0.117864,0.152257,,21.883641,925.0,38.0,4.0
00-0040400,,,,,,,
00-0040205,0.235784,0.235784,21.91102,21.91102,35.0,963.0,3.0
00-0040126,0.190492,0.190492,,20.396988,553.0,2.0,3.0
00-0040128,0.268881,0.268881,22.275154,22.275154,1146.0,193.0,4.0
00-0040735,0.128333,0.178491,,20.722793,622.0,125.0,3.0
00-0040522,,,,,,,
00-0040739,,,,,,,
00-0040676,,,,,,,
00-0040218,0.039464,0.126828,,21.971253,312.0,3.0,4.0
00-0040668,0.428513,0.428513,20.563997,22.565366,247.0,306.0,4.0
00-0040124,0.360209,0.360209,20.40794,21.409993,1319.0,0.0,3.0
00-0040122,0.334542,0.334542,20.750171,20.750171,138.0,2599.0,3.0
00-0040734,0.160421,0.215502,18.861054,21.861739,191.0,1033.0,4.0
00-0040718,0.148497,0.148497,,21.292266,1098.0,5.0,3.0
00-0040644,0.124572,0.194977,,20.147844,194.0,630.0,3.0
00-0040242,,,,,,,
00-0040236,0.290018,0.290018,21.237509,22.239562,75.0,1224.0,4.0
00-0040669,0.075854,0.077347,,22.529774,546.0,0.0,2.0
00-0040138,0.22284,0.22284,21.993155,21.993155,1176.0,40.0,4.0
00-0040582,0.121796,0.121796,,22.89117,756.0,54.0,5.0
00-0040705,0.146446,0.146446,,22.715948,783.0,0.0,5.0
00-0040581,0.151021,0.151021,,21.754962,556.0,0.0,3.0
00-0040563,,,,,,,
00-0040208,0.29491,0.29491,21.303217,22.30527,185.0,1497.0,5.0
00-0040238,0.264193,0.264193,19.071869,20.073922,525.0,1023.0,3.0
00-0040743,0.182733,0.235412,20.928131,24.928131,0.0,135.0,6.0
00-0040131,0.281141,0.281141,21.801506,21.801506,1190.0,57.0,5.0
00-0040172,0.170114,0.170114,,22.543463,906.0,20.0,5.0
00-0040164,0.15359,0.15359,,22.338125,470.0,111.0,5.0
00-0040194,0.031842,0.048808,,23.737166,195.0,0.0,4.0
00-0040184,,,,,,,
00-0040075,0.107766,0.231712,21.42642,22.428474,852.0,0.0,5.0
00-0040211,0.056718,0.319612,21.735797,23.737166,71.0,79.0,6.0
00-0040590,0.140992,0.154652,,21.856263,803.0,0.0,4.0
